Date,Ticker,0,id
2020-05-15,LSE:DSCV,0.56,11201
2020-05-15,LSE:DTY,-0.14,15202
2020-05-15,LSE:DVO,0.55,16206
2020-05-15,LSE:DWF,-0.37,17606
2020-05-15,LSE:ECM,-0.44,17607
2020-05-15,LSE:ELM,-1.54,18402
2020-05-15,LSE:ENOG,-1.43,19104
2020-05-15,LSE:ENQ,-2.87,19105
2020-05-15,LSE:ENT,-1.16,15806
2020-05-15,LSE:EQN,-1.75,17608
2020-05-15,LSE:ERM,-2.3,15602
2020-05-15,LSE:ESKN,-0.38,17703
2020-05-15,LSE:ESNT,0.16,17609
2020-05-15,LSE:EVR,-1.5,18205
2020-05-15,LSE:EXPN,-1.56,17610
2020-05-15,LSE:EZJ,-1.18,15807
2020-05-15,LSE:FAN,0.05,17104
2020-05-15,LSE:FCH,-2.68,14203
2020-05-15,LSE:FDM,-0.81,11108
2020-05-15,LSE:FERG,-0.07,17611
2020-05-15,LSE:FGP,-4.49,15808
2020-05-15,LSE:FLTR,0.77,15809
2020-05-15,LSE:FORT,-3.56,17105
2020-05-15,LSE:FOUR,0.93,15603
2020-05-15,LSE:FOXT,-0.62,21101
2020-05-15,LSE:FRAS,-0.62,15706
2020-05-15,LSE:FRES,1.63,18302
2020-05-15,LSE:FSJ,-0.08,17704
2020-05-15,LSE:FSTA,-0.28,15810
2020-05-15,LSE:FUTR,-1.05,15604
2020-05-15,LSE:FXPO,0.77,18206
2020-05-15,LSE:GAW,-0.27,15401
2020-05-15,LSE:GDWN,-1.89,18207
2020-05-15,LSE:GFRD,-2.46,17106
2020-05-15,LSE:GFS,-2.3,17612
2020-05-15,LSE:GFTU,-0.04,17613
2020-05-15,LSE:GLE,-0.51,15307
2020-05-15,LSE:GLEN,-0.9,19106
2020-05-15,LSE:GLO,0.81,20102
2020-05-15,LSE:GNC,-2.96,16207
2020-05-15,LSE:GNS,-0.47,13303
2020-05-15,LSE:GOG,-0.88,15811
2020-05-15,LSE:GRG,-0.6,16401
2020-05-15,LSE:GSK,-0.28,13304
2020-05-15,LSE:GYM,-2.59,15812
2020-05-15,LSE:GYS,-0.69,15813
2020-05-15,LSE:HAS,-1.3,17614
2020-05-15,LSE:HEAD,0.65,15308
2020-05-15,LSE:HFD,2.43,15707
2020-05-15,LSE:HFG,0.59,16208
2020-05-15,LSE:HIK,-0.12,13305
2020-05-15,LSE:HILS,0.03,18208
2020-05-15,LSE:HLMA,-0.79,17303
2020-05-15,LSE:HOC,1.84,18303
2020-05-15,LSE:HSBA,-0.64,14103
2020-05-15,LSE:HSV,-0.28,17615
2020-05-15,LSE:HSW,-2.91,15814
2020-05-15,LSE:HSX,-2.61,14504
2020-05-15,LSE:HTG,-0.8,19107
2020-05-15,LSE:HTWS,-0.11,12203
2020-05-15,LSE:HUNT,0.0,21102
2020-05-15,LSE:HWDN,-0.71,15708
2020-05-15,LSE:HYVE,-7.84,15605
2020-05-15,LSE:IAG,-2.3,15815
2020-05-15,LSE:IBM,-0.5,11109
2020-05-15,LSE:IBST,-1.68,17107
2020-05-15,LSE:ICP,-1.52,14303
2020-05-15,LSE:IGG,-0.34,14304
2020-05-15,LSE:IHG,-2.0,15816
2020-05-15,LSE:IMB,0.06,16302
2020-05-15,LSE:IMI,0.02,17304
2020-05-15,LSE:INCH,-0.93,15709
2020-05-15,LSE:INDV,-0.26,13306
2020-05-15,LSE:INF,-1.81,15606
2020-05-15,LSE:INVP,-0.99,14305
2020-05-15,LSE:IPF,-3.05,14204
2020-05-15,LSE:ITRK,-1.1,17616
2020-05-15,LSE:ITV,-0.91,15607
2020-05-15,LSE:IWG,-0.39,17617
2020-05-15,LSE:JD.,-1.26,15710
2020-05-15,LSE:JDW,-0.76,15817
2020-05-15,LSE:JET,0.08,15711
2020-05-15,LSE:JLG,-0.0,17108
2020-05-15,LSE:JMAT,-0.33,18403
2020-05-15,LSE:JUST,-1.85,14403
2020-05-15,LSE:KAZ,-0.12,18209
2020-05-15,LSE:KCT,-1.55,15608
2020-05-15,LSE:KGF,1.97,15712
2020-05-15,LSE:KIE,-0.2,17109
2020-05-15,LSE:KLR,-1.39,17110
2020-05-15,LSE:KMR,0.3,18210
2020-05-15,LSE:KNOS,0.76,11110
2020-05-15,LSE:LGEN,-2.12,14404
2020-05-15,LSE:LLOY,-1.84,14104
2020-05-15,LSE:LRE,-0.7,14505
2020-05-15,LSE:LSEG,0.51,14306
2020-05-15,LSE:LSL,1.82,21103
2020-05-15,LSE:LUCE,0.51,11202
2020-05-15,LSE:MAB,-1.76,15818
2020-05-15,LSE:MACF,0.14,17403
2020-05-15,LSE:MARS,0.31,15819
2020-05-15,LSE:MCB,-0.31,16402
2020-05-15,LSE:MCRO,-3.04,11111
2020-05-15,LSE:MDC,0.06,13101
2020-05-15,LSE:MER,-0.17,17618
2020-05-15,LSE:MGAM,-0.55,17305
2020-05-15,LSE:MGGT,-0.1,17205
2020-05-15,LSE:MGNS,-1.46,17111
2020-05-15,LSE:MGP,-1.47,13202
2020-05-15,LSE:MKS,-2.06,15713
2020-05-15,LSE:MNDI,-0.96,17404
2020-05-15,LSE:MNG,-3.64,14307
2020-05-15,LSE:MNZS,-1.45,17705
2020-05-15,LSE:MONY,-0.71,11112
2020-05-15,LSE:MOTR,0.86,15714
2020-05-15,LSE:MRO,-1.65,17306
2020-05-15,LSE:MRW,0.3,16403
2020-05-15,LSE:MSLH,-0.93,17112
2020-05-15,LSE:MTO,0.26,17619
2020-05-15,LSE:MTRO,-2.09,14105
2020-05-15,LSE:NCC,-1.51,11113
2020-05-15,LSE:NETW,-3.35,11114
2020-05-15,LSE:NEX,-1.08,15820
2020-05-15,LSE:NG.,-0.07,20203
2020-05-15,LSE:NWG,-1.75,14106
2020-05-15,LSE:NXR,-2.12,17113
2020-05-15,LSE:NXT,-1.95,15715
2020-05-15,LSE:OCDO,1.06,16404
2020-05-15,LSE:OSB,-0.29,14205
2020-05-15,LSE:OTB,-4.39,15821
2020-05-15,LSE:OXB,1.33,13307
2020-05-15,LSE:OXIG,-1.14,17307
2020-05-15,LSE:PAG,-0.42,14206
2020-05-15,LSE:PAGE,-1.15,17620
2020-05-15,LSE:PAY,-1.79,17621
2020-05-15,LSE:PDG,-1.26,15716
2020-05-15,LSE:PETS,-1.7,15717
2020-05-15,LSE:PFC,-1.2,19108
2020-05-15,LSE:PFD,-0.6,16209
2020-05-15,LSE:PFG,-2.5,14207
2020-05-15,LSE:PHAR,-5.26,19109
2020-05-15,LSE:PHNX,-1.0,14405
2020-05-15,LSE:PHTM,-0.01,15402
2020-05-15,LSE:PLP,-1.43,17114
2020-05-15,LSE:PLUS,-0.38,14308
2020-05-15,LSE:PMO,-0.23,19110
2020-05-15,LSE:PNN,0.37,20204
2020-05-15,LSE:POG,1.27,18304
2020-05-15,LSE:POLY,0.51,18305
2020-05-15,LSE:PPH,-2.05,15822
2020-05-15,LSE:PRTC,-1.64,13308
2020-05-15,LSE:PRU,-1.31,14406
2020-05-15,LSE:PRV,0.14,17308
2020-05-15,LSE:PSN,-1.63,15309
2020-05-15,LSE:PSON,-1.09,15609
2020-05-15,LSE:PTEC,-1.3,15403
2020-05-15,LSE:PZC,0.45,16405
2020-05-15,LSE:QQ.,-0.45,17206
2020-05-15,LSE:RCDO,-0.52,17115
2020-05-15,LSE:RCH,-1.57,15610
2020-05-15,LSE:RDSB,-1.4,19111
2020-05-15,LSE:RDW,-1.35,15310
2020-05-15,LSE:REDD,-0.15,17706
2020-05-15,LSE:REL,-0.82,15611
2020-05-15,LSE:RHIM,-0.48,18211
2020-05-15,LSE:RIO,1.05,18212
2020-05-15,LSE:RKT,1.15,16406
2020-05-15,LSE:RM.,-1.39,15203
2020-05-15,LSE:RMG,0.83,17707
2020-05-15,LSE:RMV,-0.72,11115
2020-05-15,LSE:RNK,-0.9,15823
2020-05-15,LSE:ROR,-0.76,17309
2020-05-15,LSE:RPS,-3.42,17622
2020-05-15,LSE:RR.,-2.71,17207
2020-05-15,LSE:RSA,-1.68,14506
2020-05-15,LSE:RSW,0.12,17310
2020-05-15,LSE:RTN,-4.6,15824
2020-05-15,LSE:RTO,-0.53,17623
2020-05-15,LSE:RWA,-2.23,17624
2020-05-15,LSE:RWI,-4.6,20205
2020-05-15,LSE:SAGA,-1.38,14507
2020-05-15,LSE:SBRE,-0.2,14508
2020-05-15,LSE:SBRY,-0.56,16407
2020-05-15,LSE:SCT,0.54,11116
2020-05-15,LSE:SDRY,-0.91,15718
2020-05-15,LSE:SDY,-1.31,17708
2020-05-15,LSE:SFR,0.27,17116
2020-05-15,LSE:SGC,-3.08,15825
2020-05-15,LSE:SGE,-0.02,11117
2020-05-15,LSE:SHI,-3.2,17117
2020-05-15,LSE:SIG,1.02,17709
2020-05-15,LSE:SKG,-0.49,17405
2020-05-15,LSE:SMDS,-1.14,17406
2020-05-15,LSE:SMIN,-0.6,17407
2020-05-15,LSE:SMWH,-3.55,15719
2020-05-15,LSE:SN.,-1.61,13203
2020-05-15,LSE:SNR,-0.88,17208
2020-05-15,LSE:SPI,-0.9,13102
2020-05-15,LSE:SPT,-0.64,12102
2020-05-15,LSE:SPX,-0.46,17501
2020-05-15,LSE:SRP,-0.36,17625
2020-05-15,LSE:SSE,-0.16,20103
2020-05-15,LSE:SSPG,-0.77,15826
2020-05-15,LSE:STAN,-1.3,14107
2020-05-15,LSE:STCK,2.99,16106
2020-05-15,LSE:STEM,-1.84,17626
2020-05-15,LSE:STJ,-1.22,14407
2020-05-15,LSE:STU,0.31,15720
2020-05-15,LSE:STVG,-0.7,15612
2020-05-15,LSE:SUS,-1.31,14208
2020-05-15,LSE:SVS,-1.59,21104
2020-05-15,LSE:SVT,-0.14,20206
2020-05-15,LSE:SXS,-0.99,17311
2020-05-15,LSE:SYNT,0.14,18404
