Date,Ticker,change,id
2020-05-14,LSE:ELM,100.0,18402
2020-05-14,LSE:ENOG,100.0,19104
2020-05-14,LSE:ENQ,100.0,19105
2020-05-14,LSE:ENT,100.0,15806
2020-05-14,LSE:EQN,100.0,17608
2020-05-14,LSE:ERM,100.0,15602
2020-05-14,LSE:ESKN,100.0,17703
2020-05-14,LSE:ESNT,100.0,17609
2020-05-14,LSE:EVR,100.0,18205
2020-05-14,LSE:EXPN,100.0,17610
2020-05-14,LSE:EZJ,100.0,15807
2020-05-14,LSE:FAN,100.0,17104
2020-05-14,LSE:FCH,100.0,14203
2020-05-14,LSE:FDM,100.0,11108
2020-05-14,LSE:FERG,100.0,17611
2020-05-14,LSE:FGP,100.0,15808
2020-05-14,LSE:FLTR,100.0,15809
2020-05-14,LSE:FORT,100.0,17105
2020-05-14,LSE:FOUR,100.0,15603
2020-05-14,LSE:FOXT,100.0,21101
2020-05-14,LSE:FRAS,100.0,15706
2020-05-14,LSE:FRES,100.0,18302
2020-05-14,LSE:FSJ,100.0,17704
2020-05-14,LSE:FSTA,100.0,15810
2020-05-14,LSE:FUTR,100.0,15604
2020-05-14,LSE:FXPO,100.0,18206
2020-05-14,LSE:GAW,100.0,15401
2020-05-14,LSE:GDWN,100.0,18207
2020-05-14,LSE:GFRD,100.0,17106
2020-05-14,LSE:GFS,100.0,17612
2020-05-14,LSE:GFTU,100.0,17613
2020-05-14,LSE:GLE,100.0,15307
2020-05-14,LSE:GLEN,100.0,19106
2020-05-14,LSE:GLO,100.0,20102
2020-05-14,LSE:GNC,100.0,16207
2020-05-14,LSE:GNS,100.0,13303
2020-05-14,LSE:GOG,100.0,15811
2020-05-14,LSE:GRG,100.0,16401
2020-05-14,LSE:GSK,100.0,13304
2020-05-14,LSE:GYM,100.0,15812
2020-05-14,LSE:GYS,100.0,15813
2020-05-14,LSE:HAS,100.0,17614
2020-05-14,LSE:HEAD,100.0,15308
2020-05-14,LSE:HFD,100.0,15707
2020-05-14,LSE:HFG,100.0,16208
2020-05-14,LSE:HIK,100.0,13305
2020-05-14,LSE:HILS,100.0,18208
2020-05-14,LSE:HLMA,100.0,17303
2020-05-14,LSE:HOC,100.0,18303
2020-05-14,LSE:HSBA,100.0,14103
2020-05-14,LSE:HSV,100.0,17615
2020-05-14,LSE:HSW,100.0,15814
2020-05-14,LSE:HSX,100.0,14504
2020-05-14,LSE:HTG,100.0,19107
2020-05-14,LSE:HTWS,100.0,12203
2020-05-14,LSE:HUNT,100.0,21102
2020-05-14,LSE:HWDN,100.0,15708
2020-05-14,LSE:HYVE,100.0,15605
2020-05-14,LSE:IAG,100.0,15815
2020-05-14,LSE:IBM,100.0,11109
2020-05-14,LSE:IBST,100.0,17107
2020-05-14,LSE:ICP,100.0,14303
2020-05-14,LSE:IGG,100.0,14304
2020-05-14,LSE:IHG,100.0,15816
2020-05-14,LSE:IMB,100.0,16302
2020-05-14,LSE:IMI,100.0,17304
2020-05-14,LSE:INCH,100.0,15709
2020-05-14,LSE:INDV,100.0,13306
2020-05-14,LSE:INF,100.0,15606
2020-05-14,LSE:INVP,100.0,14305
2020-05-14,LSE:IPF,100.0,14204
2020-05-14,LSE:ITRK,100.0,17616
2020-05-14,LSE:ITV,100.0,15607
2020-05-14,LSE:IWG,100.0,17617
2020-05-14,LSE:JD.,100.0,15710
2020-05-14,LSE:JDW,100.0,15817
2020-05-14,LSE:JET,100.0,15711
2020-05-14,LSE:JLG,100.0,17108
2020-05-14,LSE:JMAT,100.0,18403
2020-05-14,LSE:JUST,100.0,14403
2020-05-14,LSE:KAZ,100.0,18209
2020-05-14,LSE:KCT,100.0,15608
2020-05-14,LSE:KGF,100.0,15712
2020-05-14,LSE:KIE,100.0,17109
2020-05-14,LSE:KLR,100.0,17110
2020-05-14,LSE:KMR,100.0,18210
2020-05-14,LSE:KNOS,100.0,11110
2020-05-14,LSE:LGEN,100.0,14404
2020-05-14,LSE:LLOY,100.0,14104
2020-05-14,LSE:LRE,100.0,14505
2020-05-14,LSE:LSEG,100.0,14306
2020-05-14,LSE:LSL,100.0,21103
2020-05-14,LSE:LUCE,100.0,11202
2020-05-14,LSE:MAB,100.0,15818
2020-05-14,LSE:MACF,100.0,17403
